Cloning into '/kaggle/working/EXXA'...
Updating files: 100% (5081/5081), done.

cwd: /kaggle/working/EXXA/DENOISING_DIFFUSION/notebooks | DATA_DIR: /kaggle/input/datasets/krishanyadav333/line-emission-data/Line Emission Data

From https://github.com/KrishanYadav333/EXXA
 * branch            line-emission -> FETCH_HEAD

HEAD is now at 09bfcb9 move: relocate DDPM notebook to repo root, out of notebooks/ subfolder
09bfcb9 move: relocate DDPM notebook to repo root, out of notebooks/ subfolder
src.* cleared from module cache ├óΓé¼ΓÇ¥ now re-run the imports cell below.

device: cuda | GPUs: 2 -> ['Tesla T4', 'Tesla T4']

======================================================================
CUBE-LEVEL SPLIT (grouped by RunID — no channel-level leakage)
======================================================================
  data_dir          : /kaggle/input/datasets/krishanyadav333/line-emission-data/Line Emission Data
  total cubes       : 14  across 11 distinct RunIDs
  seed=42  n_holdout=3  val_fraction=0.2
----------------------------------------------------------------------
  TRAIN   :  7 cubes | RunIDs ['0006', '0010', '0020', '0022', '0030', '0035']
  VAL     :  2 cubes | RunIDs ['0016', '0036']
  HOLDOUT :  5 cubes | RunIDs ['0002', '0025', '0026']  <-- inference only, NEVER trained/validated
----------------------------------------------------------------------
  HOLDOUT cube folders (reserved for moment-map evaluation):
    - run_0002_00560_rt_00
    - run_0002_00560_rt_01
    - run_0002_00560_rt_04
    - run_0025_01000_rt_04
    - run_0026_00005_rt_04
======================================================================

[FITSChannelDataset] 7 cubes x ~50 channels = 350 items | target 256x256 | continuum-subtracted (mean of first/last 5 channels)
[FITSChannelDataset] 2 cubes x ~50 channels = 100 items | target 256x256 | continuum-subtracted (mean of first/last 5 channels)
train items: 350 | val items: 100

per-cube beam vectors [sin2BPA, cos2BPA, bmaj", bmin"]:
  run_0006_00170_rt_00         [-0.35688, 0.93415, 0.16325, 0.14323]
  run_0010_00125_rt_01         [-0.88444, -0.46665, 0.178, 0.11162]
  run_0010_00125_rt_02         [0.99896, 0.04559, 0.10449, 0.09915]
  run_0020_01000_rt_02         [-0.45252, -0.89175, 0.14064, 0.10718]
  run_0022_00155_rt_03         [0.99906, 0.04339, 0.13931, 0.13261]
  run_0030_00015_rt_00         [-0.99632, 0.08566, 0.1538, 0.12479]
  run_0035_00025_rt_01         [0.78691, 0.61707, 0.15059, 0.14761]

=== control (no beam) ===
  ep   1 | train 0.2116 | val 0.0537 | lr 1.0e-03 (19s) *best
  ep   2 | train 0.0301 | val 0.0279 | lr 1.0e-03 (12s) *best
  ep   3 | train 0.0241 | val 0.0280 | lr 1.0e-03 (12s)
  ep   4 | train 0.0194 | val 0.0238 | lr 1.0e-03 (12s) *best
  ep   5 | train 0.0131 | val 0.0144 | lr 1.0e-03 (12s) *best
  ep   6 | train 0.0123 | val 0.0120 | lr 1.0e-03 (12s) *best
  ep   7 | train 0.0093 | val 0.0092 | lr 1.0e-03 (12s) *best
  ep   8 | train 0.0082 | val 0.0086 | lr 1.0e-03 (12s) *best
  ep   9 | train 0.0071 | val 0.0080 | lr 1.0e-03 (13s) *best
  ep  10 | train 0.0073 | val 0.0106 | lr 1.0e-03 (13s)
  ep  11 | train 0.0102 | val 0.0102 | lr 1.0e-03 (13s)
  ep  12 | train 0.0077 | val 0.0070 | lr 1.0e-03 (13s) *best
  ep  13 | train 0.0065 | val 0.0070 | lr 1.0e-03 (13s) *best
  ep  14 | train 0.0067 | val 0.0072 | lr 1.0e-03 (13s)
  ep  15 | train 0.0063 | val 0.0072 | lr 1.0e-03 (13s)
  ep  16 | train 0.0058 | val 0.0060 | lr 1.0e-03 (13s) *best
  ep  17 | train 0.0053 | val 0.0056 | lr 1.0e-03 (13s) *best
  ep  18 | train 0.0050 | val 0.0059 | lr 1.0e-03 (13s)
  ep  19 | train 0.0050 | val 0.0056 | lr 1.0e-03 (13s)
  ep  20 | train 0.0045 | val 0.0053 | lr 1.0e-03 (13s) *best
  ep  21 | train 0.0043 | val 0.0053 | lr 1.0e-03 (13s)
  ep  22 | train 0.0044 | val 0.0053 | lr 1.0e-03 (13s)
  ep  23 | train 0.0045 | val 0.0051 | lr 1.0e-03 (13s) *best
  ep  24 | train 0.0046 | val 0.0047 | lr 1.0e-03 (13s) *best
  ep  25 | train 0.0048 | val 0.0054 | lr 1.0e-03 (13s)
  ep  26 | train 0.0045 | val 0.0046 | lr 1.0e-03 (13s) *best
  ep  27 | train 0.0042 | val 0.0048 | lr 1.0e-03 (13s)
  ep  28 | train 0.0041 | val 0.0043 | lr 1.0e-03 (13s) *best
  ep  29 | train 0.0037 | val 0.0040 | lr 1.0e-03 (13s) *best
  ep  30 | train 0.0035 | val 0.0048 | lr 1.0e-03 (13s)
  ep  31 | train 0.0038 | val 0.0036 | lr 1.0e-03 (13s) *best
  ep  32 | train 0.0034 | val 0.0050 | lr 1.0e-03 (13s)
  ep  33 | train 0.0038 | val 0.0047 | lr 1.0e-03 (13s)
  ep  34 | train 0.0033 | val 0.0035 | lr 1.0e-03 (13s) *best
  ep  35 | train 0.0033 | val 0.0041 | lr 1.0e-03 (13s)
  ep  36 | train 0.0033 | val 0.0045 | lr 1.0e-03 (13s)
  ep  37 | train 0.0034 | val 0.0042 | lr 1.0e-03 (13s)
  ep  38 | train 0.0031 | val 0.0040 | lr 1.0e-03 (13s)
  ep  39 | train 0.0030 | val 0.0034 | lr 1.0e-03 (13s) *best
  ep  40 | train 0.0029 | val 0.0035 | lr 1.0e-03 (13s)
  ep  41 | train 0.0029 | val 0.0034 | lr 1.0e-03 (13s) *best
  ep  42 | train 0.0026 | val 0.0036 | lr 1.0e-03 (13s)
  ep  43 | train 0.0028 | val 0.0032 | lr 1.0e-03 (13s) *best
  ep  44 | train 0.0027 | val 0.0036 | lr 1.0e-03 (13s)
  ep  45 | train 0.0029 | val 0.0034 | lr 1.0e-03 (13s)
