tag,seed,best_epoch,epochs_run,best_val_loss,psnr,ssim,mse,wall_time_s
v12,42,59,60,0.0014924018604991337,38.65927838643392,0.993433049917221,0.00022369148903787086,2360.1733288764954
v12,43,17,22,0.0020183056232053785,36.67072921117147,0.9912103760242462,0.000325463207749029,878.0614831447601
v12,44,21,26,0.0018476123335616041,37.46572548548381,0.9919638190666834,0.00030020627797663717,1038.8663144111633
winner,42,21,26,0.0011254737914229433,37.2303066444397,0.9922788592179617,0.000291645412729243,2416.677522420883
winner,43,23,28,0.001060188616393134,37.72374909083049,0.9926434924205144,0.00026340140952621976,2611.29052066803
winner,44,23,28,0.0010229840921238064,38.96936167399088,0.9929199022054672,0.0002572417500467357,2616.427524328232
winner_aug,42,26,31,0.0010766071404214018,38.93889730453491,0.9924022452036539,0.0002521603404935983,2909.7213826179504
winner_aug,43,46,51,0.0009140107548834445,39.80844659169515,0.9934615908066432,0.00020295064569457585,4807.007216691971
winner_aug,44,29,34,0.0010201620705386934,39.14122442881266,0.9927673512697219,0.00023477790757851834,3227.093019247055
winner_p10,42,30,40,0.0009203503650496714,38.95379058837891,0.9935234985748926,0.00021794086348715305,4214.604210138321
winner_p10,43,35,45,0.0009274017867088939,39.03439027150472,0.9935531616210938,0.00022956498486261504,4778.590041875839
winner_p10,44,54,60,0.0008091453269783718,39.82984577814738,0.9942721384763717,0.00018732130446248144,6404.522864818573
