label,source,family,kind,in,out,beam_dim,size,loss,supported,path
kin_gamma0,best_models,stack_kin,unet,31,31,0,256,,True,/kaggle/input/datasets/krishanyadav333/exxa-13-checkpoint-sources/kin_gamma0.ckpt
kin_gamma0_mae_fresh,nb13,stack_kin,unet,31,31,0,256,mae,True,/kaggle/input/notebooks/krishanyadav333/13-checkpoint-loss-sweep/EXXA/DENOISING_DIFFUSION/results/checkpoints/nb13_kin_gamma0_mae_fresh.pth
kin_gamma0_mae_ft,nb13,stack_kin,unet,31,31,0,256,mae,True,/kaggle/input/notebooks/krishanyadav333/13-checkpoint-loss-sweep/EXXA/DENOISING_DIFFUSION/results/checkpoints/nb13_kin_gamma0_mae_ft.pth
kin_gamma0_starlet_fresh,nb13,stack_kin,unet,31,31,0,256,starlet,True,/kaggle/input/notebooks/krishanyadav333/13-checkpoint-loss-sweep/EXXA/DENOISING_DIFFUSION/results/checkpoints/nb13_kin_gamma0_starlet_fresh.pth
kin_gamma0_starlet_ft,nb13,stack_kin,unet,31,31,0,256,starlet,True,/kaggle/input/notebooks/krishanyadav333/13-checkpoint-loss-sweep/EXXA/DENOISING_DIFFUSION/results/checkpoints/nb13_kin_gamma0_starlet_ft.pth
sg_k3_fresh,best_models,stack_sg,unet,7,1,0,256,,True,/kaggle/input/datasets/krishanyadav333/exxa-13-checkpoint-sources/sg_k3_fresh.ckpt
sweep_winner_600,nb14,unet,unet,1,1,0,600,hybrid,True,/kaggle/input/notebooks/krishanyadav333/14-native600-loss-sweep/EXXA/DENOISING_DIFFUSION/results/checkpoints/nb14_sweep_winner_600.pth
sweep_winner_aug_600,nb14,unet,unet,1,1,0,600,hybrid,True,/kaggle/input/notebooks/krishanyadav333/14-native600-loss-sweep/EXXA/DENOISING_DIFFUSION/results/checkpoints/nb14_sweep_winner_aug_600.pth
sweep_winner_aug_seed42,nb05,unet,unet,1,1,0,256,,True,/kaggle/input/notebooks/krishanyadav333/05-unet-line-emission/EXXA/DENOISING_DIFFUSION/results/checkpoints/nb05_sweep_winner_aug_seed42.pth
sweep_winner_aug_seed43,nb05,unet,unet,1,1,0,256,,True,/kaggle/input/notebooks/krishanyadav333/05-unet-line-emission/EXXA/DENOISING_DIFFUSION/results/checkpoints/nb05_sweep_winner_aug_seed43.pth
sweep_winner_aug_seed44,nb05,unet,unet,1,1,0,256,,True,/kaggle/input/notebooks/krishanyadav333/05-unet-line-emission/EXXA/DENOISING_DIFFUSION/results/checkpoints/nb05_sweep_winner_aug_seed44.pth
sweep_winner_p10_600,nb14,unet,unet,1,1,0,600,hybrid,True,/kaggle/input/notebooks/krishanyadav333/14-native600-loss-sweep/EXXA/DENOISING_DIFFUSION/results/checkpoints/nb14_sweep_winner_p10_600.pth
sweep_winner_p10_seed42,nb05,unet,unet,1,1,0,256,,True,/kaggle/input/notebooks/krishanyadav333/05-unet-line-emission/EXXA/DENOISING_DIFFUSION/results/checkpoints/nb05_sweep_winner_p10_seed42.pth
sweep_winner_p10_seed43,nb05,unet,unet,1,1,0,256,,True,/kaggle/input/notebooks/krishanyadav333/05-unet-line-emission/EXXA/DENOISING_DIFFUSION/results/checkpoints/nb05_sweep_winner_p10_seed43.pth
sweep_winner_p10_seed44,nb05,unet,unet,1,1,0,256,,True,/kaggle/input/notebooks/krishanyadav333/05-unet-line-emission/EXXA/DENOISING_DIFFUSION/results/checkpoints/nb05_sweep_winner_p10_seed44.pth
sweep_winner_seed42,nb05,unet,unet,1,1,0,256,,True,/kaggle/input/notebooks/krishanyadav333/05-unet-line-emission/EXXA/DENOISING_DIFFUSION/results/checkpoints/nb05_sweep_winner_seed42.pth
sweep_winner_seed43,nb05,unet,unet,1,1,0,256,,True,/kaggle/input/notebooks/krishanyadav333/05-unet-line-emission/EXXA/DENOISING_DIFFUSION/results/checkpoints/nb05_sweep_winner_seed43.pth
sweep_winner_seed44,nb05,unet,unet,1,1,0,256,,True,/kaggle/input/notebooks/krishanyadav333/05-unet-line-emission/EXXA/DENOISING_DIFFUSION/results/checkpoints/nb05_sweep_winner_seed44.pth
winner_aug_res320_seed43,nb05,unet,unet,1,1,0,320,hybrid,True,/kaggle/input/notebooks/krishanyadav333/05-unet-line-emission/EXXA/DENOISING_DIFFUSION/results/checkpoints/nb05_winner_aug_res320_seed43.pth
winner_aug_res480_seed43,nb05,unet,unet,1,1,0,480,hybrid,True,/kaggle/input/notebooks/krishanyadav333/05-unet-line-emission/EXXA/DENOISING_DIFFUSION/results/checkpoints/nb05_winner_aug_res480_seed43.pth
