arch,cube,imp_M0,imp_M1,imp_M2
unet,run_0002_00560_rt_00,94.56,22.99,1.15
unet,run_0002_00560_rt_01,62.29,31.8,-0.71
unet,run_0002_00560_rt_04,74.97,-0.91,5.64
unet,run_0025_01000_rt_04,86.8,39.03,40.27
unet,run_0026_00005_rt_04,66.46,17.86,-4.06
unet,MEAN,77.02,22.15,8.46
unet,STD,13.56,15.24,18.13
autoencoder,run_0002_00560_rt_00,55.2,11.0,18.6
autoencoder,run_0002_00560_rt_01,83.12,35.83,9.79
autoencoder,run_0002_00560_rt_04,72.93,43.67,10.98
autoencoder,run_0025_01000_rt_04,-8.19,21.44,46.24
autoencoder,run_0026_00005_rt_04,67.41,17.06,19.29
autoencoder,MEAN,54.09,25.8,20.98
autoencoder,STD,36.25,13.55,14.76
vae,run_0002_00560_rt_00,37.9,14.36,13.0
vae,run_0002_00560_rt_01,48.25,0.29,1.69
vae,run_0002_00560_rt_04,66.38,-30.01,8.21
vae,run_0025_01000_rt_04,12.55,11.28,34.35
vae,run_0026_00005_rt_04,65.6,8.97,6.05
vae,MEAN,46.14,0.98,12.66
vae,STD,22.3,18.1,12.79
