config,seed,cube,imp_M0,imp_M1,imp_M2
v12,42,run_0002_00560_rt_00,74.98,22.15,13.6
v12,42,run_0002_00560_rt_01,77.23,28.72,23.48
v12,42,run_0002_00560_rt_04,94.99,11.75,17.74
v12,42,run_0025_01000_rt_04,86.18,57.62,54.73
v12,42,run_0026_00005_rt_04,76.44,20.9,22.55
v12,,MEAN,81.96,28.23,26.42
v12,,STD,8.5,17.51,16.32
winner,44,run_0002_00560_rt_00,93.45,27.42,17.75
winner,44,run_0002_00560_rt_01,78.39,35.54,19.75
winner,44,run_0002_00560_rt_04,96.24,11.5,17.16
winner,44,run_0025_01000_rt_04,84.47,49.65,57.15
winner,44,run_0026_00005_rt_04,74.75,21.34,23.35
winner,,MEAN,85.46,29.09,27.03
winner,,STD,9.3,14.46,17.01
winner_aug,43,run_0002_00560_rt_00,89.54,28.4,13.01
winner_aug,43,run_0002_00560_rt_01,87.8,35.97,23.81
winner_aug,43,run_0002_00560_rt_04,92.87,-16.46,11.36
winner_aug,43,run_0025_01000_rt_04,81.58,55.62,60.07
winner_aug,43,run_0026_00005_rt_04,85.78,23.29,25.36
winner_aug,,MEAN,87.51,25.36,26.72
winner_aug,,STD,4.22,26.41,19.66
winner_p10,44,run_0002_00560_rt_00,81.64,26.22,27.24
winner_p10,44,run_0002_00560_rt_01,83.03,36.64,11.05
winner_p10,44,run_0002_00560_rt_04,96.84,47.03,16.96
winner_p10,44,run_0025_01000_rt_04,86.98,46.1,52.99
winner_p10,44,run_0026_00005_rt_04,80.55,23.45,12.35
winner_p10,,MEAN,85.81,35.89,24.12
winner_p10,,STD,6.63,10.92,17.35
