run,base_channels,channel_multipliers,lr,alpha,sched_patience,use_beam,batch_size,best_epoch,epochs_run,best_val_loss,psnr,ssim,mse,wall_time_s
0,16,1x2x4,0.0012455466690609286,0.6102013342115643,3,False,32,59,60,0.004544437951408326,34.371472644805905,0.9892087864875794,0.0005514371428216691,444.74831080436707
1,16,1x2x4x8,0.00041998104292578266,0.5134087487471316,3,False,32,21,26,0.012626676820218563,27.690236968994142,0.9764285051822662,0.0020603869680780916,213.8659873008728
2,16,1x2x4x8,0.00019665605376708537,0.7924479970007854,8,True,32,60,60,0.0026276220800355078,34.15541282653808,0.9891004133224487,0.0004577102367329644,504.1678807735443
3,32,1x2x2x4,0.0007420221445211643,0.8642437055050219,3,False,32,43,48,0.001921855246182531,35.55930833816528,0.9885665327310562,0.00042775708770022904,613.3191013336182
4,64,1x2x2x4,0.0002573058527237573,0.596891192948415,5,False,16,36,41,0.003659157399088144,36.45899848937988,0.9913658267259597,0.000299125278761494,1275.5730559825897
5,16,1x2x2x4,0.00013895104455352136,0.8813724648563568,8,True,32,60,60,0.0022417160286568104,33.48090003967285,0.9851822781562806,0.0005433326575439424,488.6905493736267
6,16,1x2x4x8,0.0004771184981345435,0.5561717732839442,5,False,32,33,38,0.006724081560969352,30.717879161834716,0.9860866069793701,0.000980064580217004,354.79740262031555
7,48,1x2x4x8,0.0008196504330730313,0.8877681051398497,8,False,16,33,38,0.001356531196506694,37.109199333190915,0.9902086865901947,0.00029016454835982584,1181.9477171897888
8,16,1x2x4,0.000947907812842791,0.8478807533549113,3,False,32,60,60,0.0018472519773058593,36.005587310791014,0.9899588507413865,0.0003771658229379682,557.7441303730011
9,16,1x2x2x4,0.0002573953621816343,0.7860579999189801,5,False,32,58,60,0.0030261045368388294,33.68724199295044,0.9879378819465637,0.0005527327947493177,546.9283125400543
10,48,1x2x2x4,0.00020392350550058275,0.620140019922101,8,False,32,52,57,0.003892998781520873,35.339533195495605,0.9903844034671784,0.00038773650412622375,1324.5545449256897
11,32,1x2x4x8,0.0011940119975203114,0.5735311221928677,5,True,32,13,18,0.010810132678598166,27.78504886627197,0.9773551362752915,0.0019212396821239963,317.30040669441223
